root,stat,count,mean_dist,avg_prize_in_bin,sum_prize_in_bin,num_terms,cum_prize,per_%_total_prize,cum_%_total_prize,roots_in_bin
1604,"(15.25, 17.5]",10.0,27.303571428571427,1.4913,14.913,10.0,132.96099999999998,3.271291472443104,29.166109130792428,0.0
1604,"(17.5, 19.75]",11.0,27.303571428571427,3.674909090909091,40.424,11.0,173.385,8.86734302166164,38.033452152454075,1.0
1604,"(19.75, 22.0]",27.0,27.303571428571427,2.3984074074074075,64.757,27.0,238.142,14.204990403071019,52.23844255552509,4.0
1604,"(22.0, 24.25]",18.0,27.303571428571427,1.2731666666666668,22.917,18.0,261.05899999999997,5.0270359199341925,57.265478475459275,1.0
1604,"(24.25, 26.5]",20.0,27.303571428571427,0.9774499999999999,19.549,20.0,280.60799999999995,4.288236907046888,61.553715382506155,3.0
1604,"(26.5, 28.75]",41.0,27.303571428571427,1.3840243902439024,56.745,41.0,337.35299999999995,12.447491088565945,74.0012064710721,1.0
1604,"(28.75, 31.0]",38.0,27.303571428571427,1.1012631578947367,41.848,38.0,379.20099999999996,9.179709350150809,83.18091582122291,2.0
1604,"(31.0, 33.25]",5.0,27.303571428571427,1.381,6.905,5.0,386.10599999999994,1.5146695914450234,84.69558541266792,4.0
1604,"(33.25, 35.5]",4.0,27.303571428571427,1.00125,4.005,4.0,390.11099999999993,0.8785302988757883,85.57411571154373,3.0
1604,"(35.5, 37.75]",11.0,27.303571428571427,0.9655454545454546,10.621,11.0,400.7319999999999,2.329805319440636,87.90392103098435,0.0
1604,"(37.75, 40.0]",7.0,27.303571428571427,0.8314285714285715,5.82,7.0,406.5519999999999,1.2766657526734302,89.18058678365777,2.0
1604,"(40.0, 42.25]",7.0,27.303571428571427,1.1231428571428572,7.862,7.0,414.41399999999993,1.724595557992871,90.90518234165066,1.0
1604,"(42.25, 44.5]",5.0,27.303571428571427,1.27,6.35,5.0,420.76399999999995,1.3929256923498765,92.29810803400053,1.0
